	Without Enlarge						With Enlarge		
	HP Left		Hit Damage				HP Left		Hit Damage
	10		11				9		12
	12		9				7		14
	11		10				9		12
	10		11				10		11
	11		10				12		9
	9		12				8		13
	10		11				11		10
	12		9				10		11
	8		13				10		11
	12		9				9		12
	9		12				11		10
	9		12				9		12
	8		13				10		11
	10		11				10		11
	7		14				11		10
	10		11				8		13
	10		11				9		12
	11		10				12		9
	8		13				10		11
	12		9				8		13
	8		13				8		13
	8		13				11		10
	9		12				11		10
	9		12				10		11
	9		12				9		12
	8		13				8		13
	12		9				9		12
	12		9				11		10
	9		12				10		11
	12		9				10		11
	10		11				11		10
	11		10				8		13
	11		10				13		8
	7		14				10		11
	8		13				11		10
	11		10				12		9
	9		12				8		13
	7		14				11		10
	11		10				13		8
	11		10				7		14
	10		11				13		8
	8		13				10		11
	11		10				11		10
	9		12				8		13
	11		10				11		10
	12		9				8		13
	13		8				11		10
	11		10				10		11
	9		12				11		10
	11		10				7		14
	7		14				7		14
	11		10				9		12
	10		11				9		12
	9		12				12		9
	12		9				8		13
	9		12				11		10
	12		9				10		11
	12		9				11		10
	12		9				8		13
	10		11				8		13
	11		10				11		10
	10		11				9		12
	11		10				11		10
	10		11				9		12
	11		10				9		12
	11		10				8		13
	12		9				10		11
	10		11				9		12
	9		12				9		12
	13		8				7		14
	10		11				12		9
	10		11				8		13
	11		10				10		11
	13		8				12		9
	10		11				10		11
	7		14				10		11
	10		11				10		11
	9		12				11		10
	13		8				11		10
	10		11				9		12
	12		9				12		9
	10		11				8		13
	12		9				13		8
	8		13				11		10
	12		9				10		11
	11		10				13		8
	7		14				13		8
	10		11				11		10
	11		10				9		12
	10		11				11		10
	9		12				8		13
	13		8				11		10
	9		12				9		12
	10		11				13		8
	8		13				9		12
	9		12				7		14
	9		12				11		10
	9		12				11		10
	12		9				10		11
	10		11				9		12
	9		12				7		14
	13		8				9		12
	10		11				10		11
	9		12				7		14
	8		13				10		11
	11		10				11		10
	11		10				12		9
	9		12				7		14
	9		12				11		10
	11		10				12		9
	11		10				11		10
	11		10				8		13
	11		10				11		10
	8		13				10		11
	12		9				13		8
	9		12				10		11
	9		12				7		14
	11		10				11		10
	9		12				13		8
	10		11				13		8
	7		14				12		9
	10		11				8		13
	12		9				7		14
	10		11				7		14
	11		10				9		12
	11		10				10		11
	13		8				7		14
	11		10				9		12
	10		11				13		8
	8		13				9		12
	12		9				9		12
	8		13				10		11
	8		13				10		11
	8		13				9		12
	7		14				10		11
	12		9				11		10
	11		10				10		11
	8		13				11		10
	11		10				11		10
	11		10				13		8
	10		11				10		11
	12		9				12		9
	8		13				7		14
	8		13				9		12
	10		11				9		12
	7		14				9		12
	12		9				9		12
	10		11				9		12
	11		10				9		12
	10		11				10		11
	12		9				10		11
	13		8				11		10
	7		14				12		9
	10		11				8		13
	10		11				7		14
	10		11				8		13
	12		9				11		10
	9		12				11		10
	12		9				11		10
	10		11				7		14
	11		10				13		8
	12		9				11		10
	10		11				11		10
	13		8				10		11
	7		14				11		10
	8		13				11		10
	7		14				10		11
	8		13				10		11
	8		13				11		10
	8		13				9		12
	11		10				10		11
	12		9				11		10
	10		11				12		9
	11		10				11		10
	10		11				11		10
	12		9				11		10
	10		11				10		11
	9		12				8		13
	11		10				9		12
	11		10				8		13
	13		8				13		8
	9		12				12		9
	11		10				10		11
	7		14				10		11
	10		11				8		13
	11		10				11		10
	8		13				9		12
	8		13				11		10
	10		11				11		10
	10		11				9		12
	10		11				10		11
	11		10				11		10
	9		12				10		11
	11		10				8		13
	9		12				11		10
	8		13				9		12
	12		9				8		13
	8		13				12		9
	12		9				13		8
	9		12				9		12
	12		9				7		14
	13		8				10		11
	13		8				11		10
	11		10				12		9
	9		12				12		9
	11		10				9		12
	9		12				13		8
	8		13				11		10
	8		13				10		11
	10		11				8		13
	10		11				10		11
	12		9				9		12
	10		11				11		10
	9		12				10		11
	9		12				12		9
	8		13				12		9
	12		9				10		11
	9		12				10		11
	11		10				8		13
	11		10				9		12
	10		11				8		13
	11		10				12		9
	10		11				11		10
	9		12				8		13
	11		10				8		13
	8		13						
	11		10						11.03555556
	9		12						
	8		13						
	10		11						
	10		11						
	10		11						
	11		10						
	13		8						
	11		10						
	8		13						
	12		9						
	8		13						
	10		11						
	12		9						
	10		11						
	8		13						
	11		10						
	12		9						
	9		12						
	11		10						
	11		10						
	9		12						
	11		10						
	10		11						
	10		11						
	7		14						
	11		10						
	11		10						
	13		8						
	10		11						
	9		12						
	9		12						
	7		14						
	12		9						
	10		11						
	12		9						
	11		10						
	12		9						
	9		12						
	10		11						
	10		11						
	12		9						
	10		11						
	9		12						
	11		10						
	12		9						
	8		13						
	9		12						
	12		9						
	8		13						
	8		13						
	9		12						
	9		12						
									
			10.93189964						
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
			10.93189964						
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
							2		
							0		
							2		
							2		
							2		
							0		
							2		
							2		
							2		
							2		
							2		
							2		
							2		
							2		
							0		
							0		
							0		
							0		
							2		
							2		
							2		
							0		
							2		
							0		
							2		
							0		
							2		
							2		
							2		
							0		
							2		
							2		
							2		
							0		
							2		
							2		
							2		
							2		
							2		
							0		
							2		
							0		
							2		
							1		
							2		
							2		
							2		
							2		
							2		
							0		
							2		
							0		
							2		
							0		
							2		
							0		
							2		
							2		
							0		
							0		
							0		
							0		
							0		
							2		
							0		
							2		
							0		
							0		
							2		
							0		
							2		
							2		
							0		
							0		
							2		
							0		
							2		
							2		
							0		
							0		
							0		
							2		
							2		
							2		
							2		
							2		
							0		
							2		
							2		
							0		
							1		
							1		
							2		
							2		
							2		
							0		
							2		
							0		
							2		
							2		
							2		
							2		
							2		
							0		
							2		
							0		
							2		
							2		
							2		
							0		
							2		
							0		
							2		
							2		
							2		
							0		
							2		
							0		
							2		
							2		
							0		
							1		
							0		
							2		
							2		
							0		
							2		
							2		
							0		
							2		
							2		
							0		
							0		
							0		
							0		
							2		
							2		
							2		
							2		
							2		
							2		
							2		
							2		
							2		
							0		
							2		
							2		
							2		
							2		
							2		
							1		
							0		
							2		
							2		
							0		
							2		
							0		
							2		
							0		
							2		
							2		
							2		
							0		
							0		
							2		
							2		
							2		
							2		
							2		
							2		
							2		
							2		
							0		
							2		
							2		
							2		
							0		
							0		
							2		
							2		
							2		
							0		
							2		
							0		
							2		
							2		
							0		
							2		
							2		
							0		
							2		
							2		
							2		
							0		
							2		
							0		
							0		
							2		
							2		
							2		
							0		
							0		
							2		
							2		
							1		
							0		
							2		
							2		
							0		
							0		
							2		
							2		
							2		
							2		
							0		
							2		
							0		
							0		
							0		
							2		
							0		
							0		
							0		
							2		
							0		
							2		
							0		
							2		
							2		
							2		
							2		
							0		
							2		
							0		
							0		
							2		
							2		
							2		
							2		
							0		
							2		
							2		
							2		
							0		
							2		
							2		
							2		
							2		
							2		
							0		
							0		
							0		
							2		
							2		
							2		
							2		
							2		
						Search "" (362 hits in 1 file of 1 searched) [Normal]			
						D:\dosbox-project\dosbox-x\dosboxx.log.txt (362 hits)			
							10		
							12		
							11		
							10		
							11		
							9		
							10		
							12		
							8		
							12		
							9		
							9		
							8		
							10		
							7		
							10		
							10		
							11		
							8		
							12		
							8		
							8		
							9		
							9		
							9		
							8		
							12		
							12		
							9		
							12		
							10		
							11		
							11		
							7		
							8		
							11		
							9		
							7		
							11		
							11		
							10		
							8		
							11		
							9		
							11		
							12		
							13		
							11		
							9		
							11		
							7		
							11		
							10		
							9		
							12		
							9		
							12		
							12		
							12		
							10		
							11		
							10		
							11		
							10		
							11		
							11		
							12		
							10		
							9		
							13		
							10		
							10		
							11		
							13		
							10		
							7		
							10		
							9		
							13		
							10		
							12		
							10		
							12		
							8		
							12		
							11		
							7		
							10		
							11		
							10		
							9		
							13		
							9		
							10		
							8		
							9		
							9		
							9		
							12		
							10		
							9		
							13		
							10		
							9		
							8		
							11		
							11		
							9		
							9		
							11		
							11		
							11		
							11		
							8		
							12		
							9		
							9		
							11		
							9		
							10		
							7		
							10		
							12		
							10		
							11		
							11		
							13		
							11		
							10		
							8		
							12		
							8		
							8		
							8		
							7		
							12		
							11		
							8		
							11		
							11		
							10		
							12		
							8		
							8		
							10		
							7		
							12		
							10		
							11		
							10		
							12		
							13		
							7		
							10		
							10		
							10		
							12		
							9		
							12		
							10		
							11		
							12		
							10		
							13		
							7		
							8		
							7		
							8		
							8		
							8		
							11		
							12		
							10		
							11		
							10		
							12		
							10		
							9		
							11		
							11		
							13		
							9		
							11		
							7		
							10		
							11		
							8		
							8		
							10		
							10		
							10		
							11		
							9		
							11		
							9		
							8		
							12		
							8		
							12		
							9		
							12		
							13		
							13		
							11		
							9		
							11		
							9		
							8		
							8		
							10		
							10		
							12		
							10		
							9		
							9		
							8		
							12		
							9		
							11		
							11		
							10		
							11		
							10		
							9		
							11		
							8		
							11		
							9		
							8		
							10		
							10		
							10		
							11		
							13		
							11		
							8		
							12		
							8		
							10		
							12		
							10		
							8		
							11		
							12		
							9		
							11		
							11		
							9		
							11		
							10		
							10		
							7		
							11		
							11		
							13		
							10		
							9		
							9		
							7		
							12		
							10		
							12		
							11		
							12		
							9		
							10		
							10		
							12		
							10		
							9		
							11		
							12		
							8		
							9		
							12		
							8		
							8		
							9		
							9		